,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
1540,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"G Gambhir, C de Grandhomme, RV Uthappa, MK Pandey, YK Pathan","Z Khan, PJ Cummins, CH Morris",49
1541,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,"HM Amla, GJ Maxwell, M Vohra, EJG Morgan","B Kumar, BB Sran, S Kaul, Mohammad Nabi, Rashid Khan",51
1542,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith, BB McCullum, SK Raina, AJ Finch","P Negi, YS Chahal, S Aravind",57
1543,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,"SV Samson, SW Billings, KK Nair","B Kumar, Mohammed Siraj, S Kaul, Rashid Khan",56
1544,Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,"PA Patel, JC Buttler, N Rana","Sandeep Sharma, I Sharma, MM Sharma, MP Stoinis",82
1545,Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,"AJ Finch, BB McCullum, SK Raina","Shakib Al Hasan, SP Narine, NM Coulter-Nile",72
1546,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"SV Samson, AP Tare, KK Nair, SS Iyer, CJ Anderson, RR Pant, K Rabada","MG Johnson, MJ McClenaghan, JJ Bumrah",23
1547,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Sunrisers Hyderabad,"AM Rahane, RA Tripathi, SPD Smith","B Kumar, Bipul Sharma, Mohammed Siraj, S Kaul",55
1548,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,"BB McCullum, AJ Finch, SK Raina, KD Karthik","Sandeep Sharma, MM Sharma, T Natarajan, KC Cariappa",50
1549,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli, Mandeep Singh, AB de Villiers, KM Jadhav, STR Binny","NM Coulter-Nile, UT Yadav",39
1550,Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,"PA Patel, JC Buttler, N Rana","Washington Sundar, SN Thakur, JD Unadkat, BA Stokes",44
1551,Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiant,"SP Narine, G Gambhir, RV Uthappa","JD Unadkat, SN Thakur, Washington Sundar, DT Christian",45
1552,M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"Ishan Kishan, BB McCullum, SK Raina, AJ Finch","S Badree, S Aravind",49
1553,Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,"SP Narine, G Gambhir, RV Uthappa","Z Khan, K Rabada, CJ Anderson, CH Morris, PJ Cummins",47
1554,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,"MJ Guptill, M Vohra, SE Marsh, GJ Maxwell","B Kumar, A Nehra, S Kaul, DJ Hooda",59
1555,Maharashtra Cricket Association Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,"TM Head, V Kohli, AB de Villiers, KM Jadhav","DL Chahar, JD Unadkat, LH Ferguson, DT Christian",39
1556,Saurashtra Cricket Association Stadium,2,Mumbai Indians,Gujarat Lions,"PA Patel, JC Buttler, N Rana","Basil Thampi, JP Faulkner, IK Pathan, Ankit Soni, SK Raina, AJ Tye",61
1557,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"MJ Guptill, HM Amla","Mohammed Shami, K Rabada, CH Morris",50
1558,"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"SP Narine, G Gambhir, RV Uthappa, MK Pandey","B Kumar, Mohammed Siraj, S Kaul, MC Henriques",44
1559,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, N Rana, JC Buttler","A Choudhary, YS Chahal, AF Milne, S Aravind",55
1560,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Gujarat Lions,"AM Rahane, SPD Smith, RA Tripathi, MK Tiwary, BA Stokes","PJ Sangwan, Basil Thampi, JP Faulkner",43
1561,Feroz Shah Kotla,2,Delhi Daredevils,Sunrisers Hyderabad,"SV Samson, KK Nair, RR Pant","B Kumar, Mohammed Siraj, S Kaul, MC Henriques",62
1562,Eden Gardens,2,Rising Pune Supergiant,Kolkata Knight Riders,"AM Rahane, RA Tripathi, SPD Smith","NM Coulter-Nile, UT Yadav, CR Woakes",74
1563,Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,"SV Samson, KK Nair, RR Pant","PJ Sangwan, Basil Thampi, JP Faulkner",63
1564,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"Mandeep Singh, CH Gayle, V Kohli, AB de Villiers, KM Jadhav","Sandeep Sharma, T Natarajan, VR Aaron",46
1565,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Rising Pune Supergiant,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh","JD Unadkat, Washington Sundar, BA Stokes",47
1566,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"SV Samson, KK Nair, SS Iyer, RR Pant, CJ Anderson, MN Samuels, PJ Cummins","MJ McClenaghan, SL Malinga, JJ Bumrah, Harbhajan Singh",35
1567,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn, SP Narine","A Choudhary, S Badree, YS Chahal, S Aravind",105
1568,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,"DR Smith, Ishan Kishan","Sandeep Sharma, MM Sharma, VR Aaron",58
1569,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"DA Warner, S Dhawan, MC Henriques","Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah",43
1570,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"SP Narine, CA Lynn, G Gambhir","Sandeep Sharma, MJ Henry, MM Sharma, AR Patel",61
1571,Green Park,2,Delhi Daredevils,Gujarat Lions,"SV Samson, KK Nair, RR Pant, SS Iyer","DS Kulkarni, PJ Sangwan, Basil Thampi, DR Smith",64
1572,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"LMP Simmons, PA Patel","Sandeep Sharma, MJ Henry, I Sharma, MM Sharma",68
1573,Feroz Shah Kotla,2,Rising Pune Supergiant,Delhi Daredevils,"AM Rahane, SPD Smith, RA Tripathi, MK Tiwary","Z Khan, Mohammed Shami, S Nadeem",53
1574,Green Park,2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner, S Dhawan, MC Henriques, V Shankar","P Kumar, PJ Sangwan, JP Faulkner",47
1575,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"SP Narine, CA Lynn, G Gambhir, RV Uthappa","TG Southee, MG Johnson, KV Sharma",53
1576,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Kings XI Punjab,"AM Rahane, RA Tripathi, SPD Smith","Sandeep Sharma, MM Sharma, I Sharma, R Tewatia, AR Patel",43
1577,Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,"SV Samson, SS Iyer, KK Nair, RR Pant","Avesh Khan, YS Chahal, HV Patel, SR Watson",42
1578,Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,"LMP Simmons, PA Patel, RG Sharma, AT Rayudu, KA Pollard","JD Unadkat, Washington Sundar, LH Ferguson, SN Thakur",42
1579,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, CA Lynn, YK Pathan, G Gambhir, IR Jaggi","B Kumar, CJ Jordan, Rashid Khan, S Kaul, Bipul Sharma",48
1580,M Chinnaswamy Stadium,2,Mumbai Indians,Kolkata Knight Riders,"LMP Simmons, PA Patel, AT Rayudu, RG Sharma, KH Pandya","UT Yadav, PP Chawla, NM Coulter-Nile, SP Narine",36
1581,"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiant,Mumbai Indians,"AM Rahane, RA Tripathi, SPD Smith","KH Pandya, MG Johnson, JJ Bumrah, SL Malinga, KV Sharma",38
1582,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"SR Watson, AT Rayudu, SK Raina","MJ McClenaghan, Mustafizur Rahman, JJ Bumrah, HH Pandya",42
1583,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Delhi Daredevils,"KL Rahul, MA Agarwal, Yuvraj Singh, KK Nair","TA Boult, Mohammed Shami, A Mishra, CH Morris",73
1584,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"SP Narine, CA Lynn, RV Uthappa, N Rana","YS Chahal, CR Woakes, Washington Sundar, UT Yadav",68
1585,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,"WP Saha, S Dhawan, KS Williamson","DS Kulkarni, JD Unadkat, K Gowtham, B Laughlin",57
1586,MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson, AT Rayudu, SK Raina","R Vinay Kumar, PP Chawla, AD Russell, TK Curran",75
1587,Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,"GJ Maxwell, RR Pant, CH Morris, V Shankar","K Gowtham, DS Kulkarni, JD Unadkat, B Laughlin",60
1588,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"WP Saha, S Dhawan","PJ Sangwan, JJ Bumrah, BCJ Cutting, KH Pandya",56
1589,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"Q de Kock, BB McCullum, V Kohli, AB de Villiers","AR Patel, R Ashwin, Mujeeb Ur Rahman, AJ Tye",41
1590,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"JJ Roy, G Gambhir, RR Pant","HH Pandya, A Dananjaya, JJ Bumrah, Mustafizur Rahman",53
1591,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"WP Saha, S Dhawan, KS Williamson, MK Pandey","MG Johnson, AD Russell, SP Narine, PP Chawla",46
1592,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"BB McCullum, V Kohli, Q de Kock","K Gowtham, DS Kulkarni, JD Unadkat, BA Stokes",64
1593,Punjab Cricket Association IS Bindra Stadium,2,Chennai Super Kings,Kings XI Punjab,"SR Watson, M Vijay, AT Rayudu, SW Billings","BB Sran, MM Sharma, AJ Tye, Mujeeb Ur Rahman",53
1594,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir, JJ Roy, SS Iyer, RR Pant, GJ Maxwell","PP Chawla, AD Russell, Shivam Mavi, SP Narine",56
1595,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"V Kohli, Q de Kock, AB de Villiers, Mandeep Singh","JJ Bumrah, KH Pandya, MJ McClenaghan, Mustafizur Rahman",55
1596,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"SP Narine, CA Lynn, RV Uthappa","K Gowtham, DS Kulkarni, JD Unadkat, B Laughlin",53
1597,Punjab Cricket Association IS Bindra Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,"WP Saha, S Dhawan, KS Williamson, YK Pathan, MK Pandey","BB Sran, MM Sharma, AJ Tye",40
1598,Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,"AM Rahane, H Klaasen, SV Samson, BA Stokes, JC Buttler","DL Chahar, SN Thakur, SR Watson",35
1599,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"KL Rahul, CH Gayle","Shivam Mavi, AD Russell, N Rana, SP Narine, PP Chawla",73
1600,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"Q de Kock, M Vohra, V Kohli, AB de Villiers","TA Boult, GJ Maxwell, S Nadeem, CH Morris",43
1601,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"RK Bhui, MK Pandey, KS Williamson, DJ Hooda, Shakib Al Hasan","DL Chahar, SN Thakur, SR Watson",40
1602,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"AM Rahane, RA Tripathi, SV Samson, BA Stokes","MJ McClenaghan, JJ Bumrah, KH Pandya, Mustafizur Rahman",43
1603,Arun Jaitley Stadium,2,Delhi Daredevils,Kings XI Punjab,"PP Shaw, G Gambhir, GJ Maxwell, RR Pant, SS Iyer","AS Rajpoot, BB Sran, AJ Tye",48
1604,Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"SA Yadav, E Lewis, Ishan Kishan, RG Sharma, KH Pandya","Sandeep Sharma, Mohammad Nabi, Shakib Al Hasan",22
1605,M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson, AT Rayudu, SK Raina, SW Billings","P Negi, UT Yadav, Washington Sundar, Mohammed Siraj",55
1606,Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"KL Rahul, CH Gayle","Sandeep Sharma, Mohammad Nabi, S Kaul",44
1607,Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,"CA Lynn, SP Narine, RV Uthappa, N Rana, KD Karthik, Shubman Gill","TA Boult, GJ Maxwell, Avesh Khan, LE Plunkett",51
1608,Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,"SA Yadav, E Lewis","DL Chahar, SN Thakur, SR Watson, Harbhajan Singh",50
1609,Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane, RA Tripathi, SV Samson","Sandeep Sharma, Shakib Al Hasan, Basil Thampi, S Kaul",43
1610,M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn, SP Narine","TG Southee, UT Yadav, YS Chahal",51
1611,Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Chennai Super Kings,"PP Shaw, C Munro, SS Iyer, RR Pant","L Ngidi, KM Asif, SR Watson",59
1612,M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"SA Yadav, Ishan Kishan, JP Duminy, RG Sharma, KA Pollard","TG Southee, UT Yadav, Mohammed Siraj",40
1613,Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,"DJM Short, JC Buttler","S Nadeem, TA Boult, Avesh Khan, LE Plunkett, A Mishra",79
1614,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn, SP Narine, RV Uthappa, Shubman Gill","L Ngidi, KM Asif, SR Watson",56
1615,Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,"SA Yadav, E Lewis, Ishan Kishan","R Ashwin, AS Rajpoot, AJ Tye, Mujeeb Ur Rahman",39
1616,Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson, AT Rayudu, SK Raina","TG Southee, YS Chahal, UT Yadav",42
1617,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"AD Hales, S Dhawan","TA Boult, Avesh Khan, GJ Maxwell, LE Plunkett",61
1618,Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,"CA Lynn, Shubman Gill, RV Uthappa, N Rana","MJ McClenaghan, JJ Bumrah, HH Pandya",47
1619,Holkar Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,"KL Rahul, CH Gayle, MA Agarwal, KK Nair","K Gowtham, JC Archer, BA Stokes, JD Unadkat",34
1620,Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Vohra, PA Patel, V Kohli","Sandeep Sharma, B Kumar, Shakib Al Hasan, S Kaul",55
1621,Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,"KL Rahul, CH Gayle, R Ashwin, KK Nair, AD Nath","K Gowtham, JC Archer, JD Unadkat, BA Stokes",33
1622,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"SP Narine, CA Lynn, RV Uthappa, N Rana","MJ McClenaghan, KH Pandya, JJ Bumrah, HH Pandya",47
1623,Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"AD Hales, S Dhawan, KS Williamson","TA Boult, HV Patel, S Nadeem, LE Plunkett",51
1624,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"JC Buttler, BA Stokes, AM Rahane, SV Samson","DJ Willey, Harbhajan Singh, RA Jadeja, SN Thakur",57
1625,Holkar Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,"KL Rahul, CH Gayle, MA Agarwal","SP Narine, M Prasidh Krishna, JPR Scantlebury-Searles, AD Russell",58
1626,Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"PA Patel, MM Ali, V Kohli, AB de Villiers","S Lamichhane, TA Boult, CJ Dala, HV Patel",58
1627,Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, AT Rayudu","Sandeep Sharma, B Kumar, Rashid Khan, Shakib Al Hasan",53
1628,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"DJM Short, AM Rahane, JC Buttler","JJ Bumrah, MJ McClenaghan, KH Pandya, HH Pandya",51
1629,Holkar Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"V Kohli, PA Patel","R Ashwin, AJ Tye, AS Rajpoot, MM Sharma",66
1630,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"SP Narine, CA Lynn, RV Uthappa, N Rana","K Gowtham, BA Stokes, JC Archer",51
1631,Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"KL Rahul, CH Gayle, AJ Finch","MJ McClenaghan, JJ Bumrah, HH Pandya, KH Pandya",57
1632,M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"S Dhawan, AD Hales, KS Williamson","UT Yadav, TG Southee, YS Chahal, Mohammed Siraj",56
1633,Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,"SR Watson, AT Rayudu","TA Boult, S Lamichhane, Avesh Khan, HV Patel",44
1634,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli, PA Patel, AB de Villiers","K Gowtham, JC Archer, B Laughlin, JD Unadkat",55
1635,Rajiv Gandhi International Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"CA Lynn, SP Narine, RV Uthappa","B Kumar, Sandeep Sharma, S Kaul, Shakib Al Hasan",66
1636,Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,"SA Yadav, E Lewis, Ishan Kishan","S Lamichhane, TA Boult, GJ Maxwell, HV Patel, LE Plunkett",57
1637,Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,"AT Rayudu, F du Plessis, SK Raina, SW Billings, Harbhajan Singh","AS Rajpoot, MM Sharma, AJ Tye",33
1638,Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, SK Raina, F du Plessis, AT Rayudu, MS Dhoni","B Kumar, Sandeep Sharma, S Kaul",33
1639,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane, RA Tripathi, SV Samson","AD Russell, M Prasidh Krishna, PP Chawla, SP Narine",51
1640,Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"CA Lynn, SP Narine, N Rana","B Kumar, KK Ahmed, S Kaul",67
1641,Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, F du Plessis, SK Raina","B Kumar, Sandeep Sharma",35
1642,MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson, AT Rayudu, SK Raina","YS Chahal, Navdeep Saini, MM Ali",16
1643,Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"CA Lynn, N Rana, RV Uthappa","B Kumar, Shakib Al Hasan, Sandeep Sharma, S Kaul",47
1644,Wankhede Stadium,2,Mumbai Indians,Delhi Capitals,"RG Sharma, Q de Kock, SA Yadav, KA Pollard","TA Boult, I Sharma, K Rabada",46
1645,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"AM Rahane, JC Buttler","SM Curran, Mujeeb Ur Rahman, Mohammed Shami",64
1646,Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,"SR Watson, AT Rayudu, SK Raina","I Sharma, AR Patel, K Rabada",58
1647,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"KL Rahul, CH Gayle, MA Agarwal, SN Khan","M Prasidh Krishna, LH Ferguson, AD Russell",51
1648,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"PA Patel, MM Ali, V Kohli","MJ McClenaghan, SL Malinga, JJ Bumrah, HH Pandya, KH Pandya",60
1649,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,"DA Warner, JM Bairstow","DS Kulkarni, K Gowtham, JC Archer, BA Stokes",69
1650,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Mumbai Indians,"KL Rahul, CH Gayle","MJ McClenaghan, SL Malinga, JJ Bumrah",38
1651,Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, S Dhawan, SS Iyer","M Prasidh Krishna, LH Ferguson, PP Chawla, AD Russell",45
1652,Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel, SO Hetmyer, V Kohli, AB de Villiers, MM Ali","B Kumar, Mohammad Nabi, Sandeep Sharma",30
1653,MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,"AM Rahane, SV Samson, JC Buttler, RA Tripathi, SPD Smith","DL Chahar, SN Thakur, MJ Santner",45
1654,Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Kings XI Punjab,"PP Shaw, SS Iyer, S Dhawan","R Ashwin, SM Curran, Mohammed Shami, GC Viljoen",49
1655,Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane, JC Buttler","UT Yadav, Navdeep Saini, Mohammed Siraj",55
1656,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"SR Watson, AT Rayudu, SK Raina, KM Jadhav, MS Dhoni","JP Behrendorff, SL Malinga, HH Pandya",34
1657,Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"DA Warner, JM Bairstow","S Lamichhane, AR Patel, CH Morris, K Rabada",62
1658,M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn, SP Narine, RV Uthappa","TG Southee, Navdeep Saini, YS Chahal",59
1659,MA Chidambaram Stadium,2,Kings XI Punjab,Chennai Super Kings,"KL Rahul, CH Gayle, MA Agarwal, SN Khan","DL Chahar, Harbhajan Singh, SC Kuggeleijn",46
1660,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"DA Warner, JM Bairstow, V Shankar, MK Pandey","JP Behrendorff, JJ Bumrah, RD Chahar, AS Joseph",39
1661,M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw, S Dhawan, SS Iyer","TG Southee, Navdeep Saini, YS Chahal",53
1662,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"CA Lynn, SP Narine","DS Kulkarni, K Gowtham, JC Archer",65
1663,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"KL Rahul, CH Gayle, MA Agarwal","B Kumar, Sandeep Sharma, Rashid Khan, Mohammad Nabi",38
1664,MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson, F du Plessis, SK Raina, AT Rayudu","PP Chawla, M Prasidh Krishna, SP Narine",40
1665,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"Q de Kock, SD Lad, SA Yadav","AS Rajpoot, Mohammed Shami, GC Viljoen",50
1666,Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"SR Watson, SK Raina, F du Plessis, AT Rayudu, KM Jadhav, MS Dhoni","DS Kulkarni, JD Unadkat, JC Archer",24
1667,Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"PP Shaw, S Dhawan, SS Iyer, RR Pant","M Prasidh Krishna, LH Ferguson, AD Russell",57
1668,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"AM Rahane, JC Buttler","JP Behrendorff, AS Joseph, RD Chahar, JJ Bumrah",59
1669,Punjab Cricket Association IS Bindra Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"PA Patel, V Kohli, AB de Villiers","SM Curran, Mohammed Shami, R Ashwin, M Ashwin",63
1670,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson, F du Plessis, SK Raina, AT Rayudu","M Prasidh Krishna, HF Gurney, AD Russell, SP Narine",44
1671,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"DA Warner, JM Bairstow","I Sharma, K Rabada, CH Morris",40
1672,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"Q de Kock, RG Sharma","UT Yadav, Navdeep Saini, Mohammed Siraj, YS Chahal",67
1673,Punjab Cricket Association IS Bindra Stadium,2,Rajasthan Royals,Kings XI Punjab,"RA Tripathi, JC Buttler, SV Samson","Arshdeep Singh, Mujeeb Ur Rahman",54
1674,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner, JM Bairstow, KS Williamson","DL Chahar, SN Thakur, Imran Tahir",68
1675,Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,"PP Shaw, S Dhawan","HH Pandya, RD Chahar, SL Malinga, J Yadav, JJ Bumrah",48
